时间戳记,Nickname for the whole user study,Which Version did you play?,Indicate the extent do you feel this way after playing the game.   [Interested],Indicate the extent do you feel this way after playing the game.   [Distressed],Indicate the extent do you feel this way after playing the game.   [Excited],Indicate the extent do you feel this way after playing the game.   [Upset],Indicate the extent do you feel this way after playing the game.   [Strong],Indicate the extent do you feel this way after playing the game.   [Guilty],Indicate the extent do you feel this way after playing the game.   [Scared],Indicate the extent do you feel this way after playing the game.   [Hostile],Indicate the extent do you feel this way after playing the game.   [Enthusiastic],Indicate the extent do you feel this way after playing the game.   [Proud],Indicate the extent do you feel this way after playing the game.   [Irritable],Indicate the extent do you feel this way after playing the game.   [Alert],Indicate the extent do you feel this way after playing the game.   [Ashamed],Indicate the extent do you feel this way after playing the game.   [Inspired],Indicate the extent do you feel this way after playing the game.   [Nervous],Indicate the extent do you feel this way after playing the game.   [Determined],Indicate the extent do you feel this way after playing the game.   [Attentive],Indicate the extent do you feel this way after playing the game.   [Jittery],Indicate the extent do you feel this way after playing the game.   [Active],Indicate the extent do you feel this way after playing the game.   [Afraid],"Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [Whenever I stopped playing the game I cannot wait to start playing it again.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I cannot tell that I am getting tired while playing the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I do not care to check events that are happening in the real world during the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I think the game is fun]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [If given the chance, I want to play this game again.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I enjoy playing the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I feel successful when I overcome the obstacles in the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I want to do as well as possible during the game.]","Based on your experience playing this game, please rate the following statements on a scale from ""Strongly Disagree"" to ""Strongly Agree"". [I am very focused on my own performance while playing the game.]",Select to what extent you feel now represented by this image,Select to what extent you feel now represented by this image,Select to what extent you feel now  represented by this image,How was the horror level?
2026/05/07 12:15:12 下午 GMT+9,Luke A,Version 1,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,1,5,5,1
2026/05/07 12:40:21 下午 GMT+9,Aman,Version 1,A little,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Moderately,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Somewhat Agree,3,4,4,4
2026/05/07 1:00:14 下午 GMT+9,thai,Version 1,Very slightly or not at all,Quite a bit,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Moderately,A little,A little,Quite a bit,Quite a bit,Moderately,Moderately,Quite a bit,Moderately,A little,Moderately,Moderately,Quite a bit,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,4,4,4,5
2026/05/07 1:25:22 下午 GMT+9,prooheckcp,Version 1,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,A little,Very slightly or not at all,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,3,3,3,2
2026/05/08 2:10:36 下午 GMT+9,August,Version 1,Quite a bit,A little,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,A little,Moderately,Very slightly or not at all,Very slightly or not at all,A little,Moderately,Quite a bit,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,3,3,4,2
2026/05/08 2:44:07 下午 GMT+9,ding jiaye,Version 1,Moderately,Quite a bit,Moderately,Very slightly or not at all,Moderately,Very slightly or not at all,Quite a bit,Moderately,Quite a bit,Very slightly or not at all,Moderately,Quite a bit,Very slightly or not at all,Moderately,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,3,4,4,6
2026/05/08 3:14:58 下午 GMT+9,Guhan,Version 1,Quite a bit,Quite a bit,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,A little,Quite a bit,Very slightly or not at all,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,4,4,2,5
2026/05/08 3:32:37 下午 GMT+9,Yuvraj,Version 1,Quite a bit,A little,Moderately,Moderately,Moderately,A little,Very slightly or not at all,A little,Moderately,A little,Moderately,Moderately,Very slightly or not at all,Moderately,Moderately,Moderately,Quite a bit,A little,Moderately,A little,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,3,2,3,5
2026/05/08 5:28:28 下午 GMT+9,LIU,Version 1,Quite a bit,Moderately,Quite a bit,Quite a bit,Very slightly or not at all,Very slightly or not at all,Moderately,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Quite a bit,Very slightly or not at all,A little,Quite a bit,Moderately,Extremely,A little,A little,Moderately,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,3,2,3,4
2026/05/07 12:18:21 下午 GMT+9,Yash,Version 2,A little,Very slightly or not at all,A little,Very slightly or not at all,Moderately,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,Very slightly or not at all,A little,A little,Very slightly or not at all,A little,Very slightly or not at all,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,3,3,3,1
